title,description,skills,location,salary,industry,job_type
Software Engineer,Plan and design infrastructure projects.,"Electrical Design, PLC, AutoCAD",Austin,90000,Technology,Contract
Civil Engineer,Create visual content and designs.,"Electrical Design, PLC, AutoCAD",Mumbai,75000,Healthcare,Remote
Electrical Engineer,Drive sales and achieve targets.,"SolidWorks, CAD, Engineering Design",Boston,120000,Retail,Contract
Mechanical Engineer,Analyze data and build predictive models.,"Patient Care, Nursing, Medical Terminology",Denver,110000,Construction,Full-Time
Graphic Designer,Provide patient care and support.,"SEO, Content Marketing, Social Media",New York,80000,Finance,Contract
Teacher,Design and test mechanical components.,"Patient Care, Nursing, Medical Terminology",Denver,80000,Finance,Contract
Human Resources Manager,Design and maintain electrical systems.,"Pharmacology, Patient Counseling, Pharmacy Management",San Francisco,50000,Law,Part-Time
Legal Advisor,Resolve customer inquiries and issues.,"Teaching, Curriculum Development, Student Assessment",New York,90000,Marketing,Contract
Marketing Manager,Analyze financial data and market trends.,"SEO, Content Marketing, Social Media",Delhi,65000,Law,Remote
Human Resources Manager,Develop and maintain software applications.,"Project Management, Agile, Scrum",Boston,65000,Technology,Contract
Human Resources Manager,Provide patient care and support.,"Project Management, Agile, Scrum",Seattle,95000,Education,Full-Time
Mechanical Engineer,Manage recruitment and employee relations.,"Photoshop, Illustrator, Graphic Design",Los Angeles,80000,Finance,Part-Time
Financial Analyst,Provide legal counsel and advice.,"Project Management, Agile, Scrum",Hyderabad,120000,Marketing,Part-Time
Software Engineer,Manage recruitment and employee relations.,"Pharmacology, Patient Counseling, Pharmacy Management",Hyderabad,65000,Pharmaceuticals,Full-Time
Pharmacist,Create visual content and designs.,"Electrical Design, PLC, AutoCAD",Boston,70000,Engineering,Full-Time
Civil Engineer,Write and edit content for various platforms.,"SEO, Content Marketing, Social Media",Denver,72000,Construction,Part-Time
Accountant,Dispense medication and counsel patients.,"Salesforce, Negotiation, CRM",Delhi,72000,Construction,Contract
Human Resources Manager,Drive sales and achieve targets.,"SolidWorks, CAD, Engineering Design",Bangalore,40000,Retail,Full-Time
Customer Support,Oversee product development and strategy.,"Teaching, Curriculum Development, Student Assessment",Delhi,90000,Retail,Contract
Project Manager,Educate and mentor students.,"Product Development, UX/UI Design, Market Research",Boston,120000,Finance,Part-Time
Human Resources Manager,Resolve customer inquiries and issues.,"Business Analysis, SQL, Excel",New York,72000,Education,Part-Time
Legal Advisor,Analyze data and build predictive models.,"AutoCAD, Structural Engineering, Project Management",Pune,75000,Retail,Remote
Software Engineer,Analyze data and build predictive models.,"Product Development, UX/UI Design, Market Research",Seattle,65000,Technology,Remote
Civil Engineer,Drive sales and achieve targets.,"Project Management, Agile, Scrum",Houston,110000,Finance,Full-Time
Legal Advisor,Plan and design infrastructure projects.,"Legal Research, Contract Law, Litigation",Chicago,75000,Construction,Remote
Human Resources Manager,Create visual content and designs.,"Machine Learning, Python, Data Analysis",Miami,90000,Technology,Contract
Marketing Manager,Develop and maintain software applications.,"Patient Care, Nursing, Medical Terminology",Seattle,95000,Marketing,Full-Time
Pharmacist,Analyze data and build predictive models.,"Python, Java, SQL",Delhi,90000,Finance,Full-Time
Teacher,Analyze business processes and suggest improvements.,"Patient Care, Nursing, Medical Terminology",New York,72000,Technology,Contract
Electrical Engineer,Analyze financial data and market trends.,"Project Management, Agile, Scrum",San Francisco,70000,Construction,Contract
Project Manager,Provide patient care and support.,"Business Analysis, SQL, Excel",Pune,80000,Marketing,Contract
Business Analyst,Analyze financial data and market trends.,"Machine Learning, Python, Data Analysis",Boston,40000,Construction,Contract
Project Manager,Dispense medication and counsel patients.,"Accounting, Taxation, Financial Reporting",Seattle,95000,Retail,Contract
Electrical Engineer,Design and maintain electrical systems.,"Photoshop, Illustrator, Graphic Design",Mumbai,80000,Law,Part-Time
Data Scientist,Provide legal counsel and advice.,"Photoshop, Illustrator, Graphic Design",Chicago,110000,Engineering,Full-Time
Civil Engineer,Provide patient care and support.,"Project Management, Agile, Scrum",Houston,110000,Engineering,Remote
Marketing Manager,Create visual content and designs.,"Financial Modeling, Excel, Data Analysis",Mumbai,75000,Marketing,Full-Time
Sales Executive,Lead marketing campaigns and strategies.,"Product Development, UX/UI Design, Market Research",Denver,80000,Engineering,Contract
Mechanical Engineer,Provide legal counsel and advice.,"Salesforce, Negotiation, CRM",Pune,75000,Engineering,Full-Time
